,location_id,location_name,location_match,super_region_id,super_region_name,region_id,region_name,developed
1,NA,Mayotte,NA,166,Sub-Saharan Africa,174,Eastern Sub-Saharan Africa,0
2,NA,French Guiana,NA,103,Latin America and Caribbean,134,Tropical Latin America,0
3,NA,Martinique,NA,103,Latin America and Caribbean,104,Caribbean,0
4,NA,"Virgin Islands, U.S.",NA,103,Latin America and Caribbean,104,Caribbean,0
5,NA,American Samoa,NA,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
6,NA,Cook Islands,NA,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
7,NA,French Polynesia,NA,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
8,NA,Guam,NA,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
9,NA,Micronesia (Federated States of),NA,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
10,NA,Nauru,NA,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
11,NA,New Caledonia,NA,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
12,NA,Niue,NA,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
13,NA,Northern Mariana Islands,NA,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
14,NA,Palau,NA,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
15,NA,Pitcairn,NA,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
16,68,Republic of Korea,NA,64,High-income,65,High-income Asia Pacif,1
17,NA,Tokelau,NA,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
18,NA,Tuvalu,NA,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
19,NA,Wallis and Futuna,NA,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
20,11,Indonesia,Indonesia,4,"Southeast Asia, East Asia, and Oceania",9,Southeast Asia,0
21,14,Maldives,Maldives,4,"Southeast Asia, East Asia, and Oceania",9,Southeast Asia,0
22,15,Myanmar,Myanmar,4,"Southeast Asia, East Asia, and Oceania",9,Southeast Asia,0
23,16,Philippines,Philippines,4,"Southeast Asia, East Asia, and Oceania",9,Southeast Asia,0
24,17,Sri Lanka,Sri Lanka,4,"Southeast Asia, East Asia, and Oceania",9,Southeast Asia,0
25,18,Thailand,Thailand,4,"Southeast Asia, East Asia, and Oceania",9,Southeast Asia,0
26,19,Timor-Leste,Timor-Leste,4,"Southeast Asia, East Asia, and Oceania",9,Southeast Asia,0
27,22,Fiji,Fiji,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
28,23,Kiribati,Kiribati,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
29,24,Marshall Islands,Marshall Islands,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
30,26,Guinea,Papua New Guinea,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
31,27,Samoa,Samoa,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
32,28,Solomon Islands,Solomon Islands,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
33,29,Tonga,Tonga,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
34,30,Vanuatu,Vanuatu,4,"Southeast Asia, East Asia, and Oceania",21,Oceania,0
35,105,Antigua and Barbuda,Antigua and Barbuda,103,Latin America and Caribbean,104,Caribbean,0
36,109,Cuba,Cuba,103,Latin America and Caribbean,104,Caribbean,0
37,111,Dominican Republic,Dominican Republic,103,Latin America and Caribbean,104,Caribbean,0
38,113,Guyana,Guyana,103,Latin America and Caribbean,104,Caribbean,0
39,114,Haiti,Haiti,103,Latin America and Caribbean,104,Caribbean,0
40,118,Suriname,Suriname,103,Latin America and Caribbean,104,Caribbean,0
41,119,Trinidad and Tobago,Trinidad and Tobago,103,Latin America and Caribbean,104,Caribbean,0
42,126,Costa Rica,Costa Rica,103,Latin America and Caribbean,124,Central Latin America,0
43,133,Venezuela,Venezuela,103,Latin America and Caribbean,124,Central Latin America,0
44,135,Brazil,Brazil,103,Latin America and Caribbean,134,Tropical Latin America,0
45,141,Egypt,Egypt,137,North Africa and Middle East,138,North Africa and Middle East,0
46,161,Bangladesh,Bangladesh,158,South Asia,159,South Asia,0
47,164,Nepal,Nepal,158,South Asia,159,South Asia,0
48,168,Angola,Angola,166,Sub-Saharan Africa,167,Central Sub-Saharan Africa,0
49,169,Central African Republic,Central African Republic,166,Sub-Saharan Africa,167,Central Sub-Saharan Africa,0
50,170,Congo,Congo,166,Sub-Saharan Africa,167,Central Sub-Saharan Africa,0
51,171,Democratic Republic of the Congo,Democratic Republic of the Congo,166,Sub-Saharan Africa,167,Central Sub-Saharan Africa,0
52,172,Equatorial Guinea,Equatorial Guinea,166,Sub-Saharan Africa,167,Central Sub-Saharan Africa,0
53,173,Gabon,Gabon,166,Sub-Saharan Africa,167,Central Sub-Saharan Africa,0
54,176,Comoros,Comoros,166,Sub-Saharan Africa,174,Eastern Sub-Saharan Africa,0
55,179,Ethiopia,Ethiopia,166,Sub-Saharan Africa,174,Eastern Sub-Saharan Africa,0
56,180,Kenya,Kenya,166,Sub-Saharan Africa,174,Eastern Sub-Saharan Africa,0
57,181,Madagascar,Madagascar,166,Sub-Saharan Africa,174,Eastern Sub-Saharan Africa,0
58,182,Malawi,Malawi,166,Sub-Saharan Africa,174,Eastern Sub-Saharan Africa,0
59,184,Mozambique,Mozambique,166,Sub-Saharan Africa,174,Eastern Sub-Saharan Africa,0
60,186,Seychelles,Seychelles,4,"Southeast Asia, East Asia, and Oceania",9,Southeast Asia,0
61,189,Tanzania,Tanzania,166,Sub-Saharan Africa,174,Eastern Sub-Saharan Africa,0
