Library_ID,pop_id,Record_ID,CONTINENT,REGION,WHO_region,ISO_CTRY,ADM0,ADM0_ID,ADM1,ADM1_ID,ADM2,ADM2_ID,TypeSite,Site_name,Precision,Latitude,Longitude,PoT,Coverage,Trial,TimePeriod,Year_start,Year_end,N_rounds,Method_0,LF_species,Sex,Age_Range,Age_start,Age_end,Author,Source,Year,Approval,Reference,Blood_volu_Any_clinic,Blood_volu_Blood_smear,Blood_volu_Brugia_Rapid,Blood_volu_Chamber,Blood_volu_ELISA,Blood_volu_Filtration,Blood_volu_Hydrocele,Blood_volu_ICT,Blood_volu_IFI,Blood_volu_Knott,Blood_volu_Lymphedema,Blood_volu_New_rapid_test,Blood_volu_PCR,prev_Any_clinic,prev_Blood_smear,prev_Brugia_Rapid,prev_Chamber,prev_ELISA,prev_Filtration,prev_Hydrocele,prev_ICT,prev_IFI,prev_Knott,prev_Lymphedema,prev_New_rapid_test,prev_PCR,density_Any_clinic,density_Blood_smear,density_Brugia_Rapid,density_Chamber,density_ELISA,density_Filtration,density_Hydrocele,density_ICT,density_IFI,density_Knott,density_Lymphedema,density_New_rapid_test,density_PCR,pop_Any_clinic,pop_Blood_smear,pop_Brugia_Rapid,pop_Chamber,pop_ELISA,pop_Filtration,pop_Hydrocele,pop_ICT,pop_IFI,pop_Knott,pop_Lymphedema,pop_New_rapid_test,pop_PCR,np_Any_clinic,np_Blood_smear,np_Brugia_Rapid,np_Chamber,np_ELISA,np_Filtration,np_Hydrocele,np_ICT,np_IFI,np_Knott,np_Lymphedema,np_New_rapid_test,np_PCR,diagnostics,num_diagnostics,specificity,Comments,ICT_test,unextracted_data,Blood_volu_Others,prev_Others,density_Others,pop_Others,np_Others,object_ids
BFA0008LF,250,LF295BF,Africa,Western Africa,AFRO/EMRO,BF,Burkina Faso,42,Centre-Nord,40280,Kaya,4865,Location,Sidogo,1,13.3167,-1.0667,Postintervention,Country,No,2000-2010,2007,2007,3,SS/Spot,Wuchereria bancrofti,Both,Adults/Children,0,99,Burkina Faso Ministry of Health,Report,2010,No,Programme to Eliminate Lymphatic Filariasis. Country Report WHO; BFA0020_LF2010,NA,60,NA,NA,NA,NA,NA,100,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0.02,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,96,NA,NA,NA,NA,NA,96,NA,NA,96,NA,NA,NA,0,NA,NA,NA,NA,NA,2,NA,NA,0,NA,NA,Blood_smear + ICT + Lymphedema,3,age + location + year + MDA round + Pre/Post Intervention,,,NA,NA,NA,NA,NA,NA,NA
BFA0008LF,293,LF338BF,Africa,Western Africa,AFRO/EMRO,BF,Burkina Faso,42,Centre-Est,40279,Ouargaye,13537,Location,Sangha,1,11.172163,0.164179,Postintervention,Country,No,2000-2010,2006,2006,4,SS/Spot,Wuchereria bancrofti,Both,Adults/Children,0,99,Burkina Faso Ministry of Health,Report,2010,No,Programme to Eliminate Lymphatic Filariasis. Country Report WHO; BFA0020_LF2010,NA,60,NA,NA,NA,NA,0,100,NA,NA,0,NA,NA,NA,0.023,NA,NA,NA,NA,0.008,0.101,NA,NA,0,NA,NA,NA,124,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,301,NA,NA,NA,NA,133,396,NA,NA,301,NA,NA,NA,7,NA,NA,NA,NA,1,40,NA,NA,0,NA,NA,Blood_smear + ICT + Hydrocele + Lymphedema,4,age + location + year + MDA round + Pre/Post Intervention,,,NA,NA,NA,NA,NA,NA,NA
BFA0008LF,395,LF442BF,Africa,Western Africa,AFRO/EMRO,BF,Burkina Faso,42,Sud - Ouest,40288,Dano,13529,Location,Gora,1,10.916667,-2.966666,Postintervention,Country,No,2000-2010,2006,2006,5,SS/Spot,Wuchereria bancrofti,Both,Adults/Children,0,99,Burkina Faso Ministry of Health,Report,2010,No,Programme to Eliminate Lymphatic Filariasis. Country Report WHO; BFA0020_LF2010,NA,60,NA,NA,NA,NA,0,100,NA,NA,0,NA,NA,NA,0.04,NA,NA,NA,NA,0.02,0.188,NA,NA,0.008,NA,NA,NA,154,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,502,NA,NA,NA,NA,250,499,NA,NA,502,NA,NA,NA,20,NA,NA,NA,NA,5,94,NA,NA,4,NA,NA,Blood_smear + ICT + Hydrocele + Lymphedema,4,age + location + year + MDA round + Pre/Post Intervention,,,NA,NA,NA,NA,NA,NA,NA
BFA0008LF,400,LF448BF,Africa,Western Africa,AFRO/EMRO,BF,Burkina Faso,42,Boucle Mouhoun,40276,Dedougou,12326,Location,Tikan,1,12.316667,-3.15,Postintervention,Country,No,2000-2010,2007,2007,2,SS/Spot,Wuchereria bancrofti,Both,Adults/Children,0,99,Burkina Faso Ministry of Health,Report,2010,No,Programme to Eliminate Lymphatic Filariasis. Country Report WHO; BFA0020_LF2010,NA,60,NA,NA,NA,NA,0,100,NA,NA,0,NA,NA,NA,0.074,NA,NA,NA,NA,0,0.27,NA,NA,0.006,NA,NA,NA,193,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,163,NA,NA,NA,NA,163,163,NA,NA,163,NA,NA,NA,12,NA,NA,NA,NA,0,44,NA,NA,1,NA,NA,Blood_smear + ICT + Hydrocele + Lymphedema,4,age + location + year + MDA round + Pre/Post Intervention,,,NA,NA,NA,NA,NA,NA,NA
BFA0008LF,403,LF451BF,Africa,Western Africa,AFRO/EMRO,BF,Burkina Faso,42,Est,40283,Diapaga,8958,Location,Sampieri,2,12.433434,1.345257,Postintervention,Country,No,2000-2010,2007,2007,4,SS/Spot,Wuchereria bancrofti,Both,Adults/Children,0,99,Burkina Faso Ministry of Health,Report,2010,No,Programme to Eliminate Lymphatic Filariasis. Country Report WHO; BFA0020_LF2010,NA,60,NA,NA,NA,NA,0,100,NA,NA,0,NA,NA,NA,0.016,NA,NA,NA,NA,0.107,0.172,NA,NA,0,NA,NA,NA,217,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,383,NA,NA,NA,NA,205,383,NA,NA,383,NA,NA,NA,6,NA,NA,NA,NA,22,66,NA,NA,0,NA,NA,Blood_smear + ICT + Hydrocele + Lymphedema,4,age + location + year + MDA round + Pre/Post Intervention,,,NA,NA,NA,NA,NA,NA,NA
BFA0008LF,27,LF271BF,Africa,Western Africa,AFRO/EMRO,BF,Burkina Faso,42,Sud - Ouest,40288,Gaoua,13534,Location,Perigban,1,10.233333,-3.35,Preintervention,No,No,2000-2010,2001,2001,0,SS/Spot,Wuchereria bancrofti,Both,Adults/Children,0,99,Burkina Faso Ministry of Health,Report,2010,No,Programme to Eliminate Lymphatic Filariasis. Country Report WHO; BFA0020_LF2010,NA,60,NA,NA,NA,NA,0,100,NA,NA,0,NA,NA,NA,0.083,NA,NA,NA,NA,0.055,0.207,NA,NA,0.012,NA,NA,NA,472,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,604,NA,NA,NA,NA,289,116,NA,NA,604,NA,NA,NA,50,NA,NA,NA,NA,16,24,NA,NA,7,NA,NA,Blood_smear + ICT + Hydrocele + Lymphedema,4,age + location + year + MDA round + Pre/Post Intervention,,NA,NA,NA,NA,NA,NA,NA,258 + 259 + 260 + 261
BFA0008LF,32,LF276BF,Africa,Western Africa,AFRO/EMRO,BF,Burkina Faso,42,Sud - Ouest,40288,Gaoua,13534,Location,P??rigban,1,10.233333,-3.35,Postintervention,Country,No,2000-2010,2006,2006,5,SS/Spot,Wuchereria bancrofti,Both,Adults/Children,0,99,Burkina Faso Ministry of Health,Report,2010,No,Programme to Eliminate Lymphatic Filariasis. Country Report WHO; BFA0020_LF2010,NA,60,NA,NA,NA,NA,0,100,NA,NA,0,NA,NA,NA,0.087,NA,NA,NA,NA,0,0.353,NA,NA,0.013,NA,NA,NA,248,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,230,NA,NA,NA,NA,130,479,NA,NA,230,NA,NA,NA,20,NA,NA,NA,NA,0,169,NA,NA,3,NA,NA,Blood_smear + ICT + Hydrocele + Lymphedema,4,age + location + year + MDA round + Pre/Post Intervention,,NA,NA,NA,NA,NA,NA,NA,274 + 275 + 276 + 277
BFA0008LF,117,LF362BF,Africa,Western Africa,AFRO/EMRO,BF,Burkina Faso,42,Centre-Sud,40282,Sapone,3789,Location,Nacombgo,1,11.95,-1.55,Preintervention,No,No,2000-2010,2002,2002,0,SS/Spot,Wuchereria bancrofti,Both,Adults/Children,0,99,Burkina Faso Ministry of Health,Report,2010,No,Programme to Eliminate Lymphatic Filariasis. Country Report WHO; BFA0020_LF2010,NA,60,NA,NA,NA,NA,0,100,NA,NA,0,NA,NA,NA,0.105,NA,NA,NA,NA,0,0.03,NA,NA,0.003,NA,NA,NA,2322,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,572,NA,NA,NA,NA,225,101,NA,NA,572,NA,NA,NA,60,NA,NA,NA,NA,0,3,NA,NA,2,NA,NA,Blood_smear + ICT + Hydrocele + Lymphedema,4,age + location + year + MDA round + Pre/Post Intervention,,NA,NA,NA,NA,NA,NA,NA,447 + 448 + 449 + 450
BFA0008LF,190,LF437BF,Africa,Western Africa,AFRO/EMRO,BF,Burkina Faso,42,Sud - Ouest,40288,Dano,13529,Location,Gora,1,10.916667,-2.966666,Preintervention,No,No,2000-2010,2001,2001,0,SS/Spot,Wuchereria bancrofti,Both,Adults/Children,0,99,Burkina Faso Ministry of Health,Report,2010,No,Programme to Eliminate Lymphatic Filariasis. Country Report WHO; BFA0020_LF2010,NA,60,NA,NA,NA,NA,0,100,NA,NA,0,NA,NA,NA,0.136,NA,NA,NA,NA,0.02,0.192,NA,NA,0.005,NA,NA,NA,690,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,627,NA,NA,NA,NA,304,287,NA,NA,627,NA,NA,NA,85,NA,NA,NA,NA,6,55,NA,NA,3,NA,NA,Blood_smear + ICT + Hydrocele + Lymphedema,4,age + location + year + MDA round + Pre/Post Intervention,,NA,NA,NA,NA,NA,NA,NA,585 + 586 + 587 + 588
BRA0003LF,2587,LF4468BR,Americas,South America,AMRO,BR,Brazil,37,Pernambuco,681,Recife,9621,Location,Olinda (Sapucaia neighborhood),1,-7.99121,-34.85503,Preintervention,No,No,2010-on,2009,2010,0,Mapping survey,Wuchereria bancrofti,Both,Children,5,18,"Aguiar-Santos AM, Medeiros Z, Bonfim C, Rocha AC, Brandao E, Miranda T, Oliveira P and Sarinho ES",Published paper,2013,Yes,Epidemiological assessment of neglected diseases in children: lymphatic filariasis and soil-transmitted helminthiasis,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.012,NA,NA,NA,NA,NA,0.138,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,159,NA,NA,NA,NA,NA,159,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,Blood_smear + ICT,2,Total,valid,NA,NA,NA,NA,NA,NA,NA,6377 + 6378
