"","V1","uid_from_source_restr","data_source_restr","restricted_restr","CONTINENT_restr","REGION_restr","WHO_region_restr","ISO_CTRY_restr","ADM0_restr","ADM0_ID_restr","ADM1_restr","ADM1_ID_restr","ADM2_restr","ADM2_ID_restr","TypeSite_restr","Site_name_restr","point_restr","latitude_restr","longitude_restr","year_start_restr","year_end_restr","year_survey_restr","year_pub_restr","age_start_restr","age_end_restr","age_group_restr","sex_restr","mda_rounds_restr","data_collect_method_restr","Control_trial_restr","LF_species_restr","pop_mf_restr","np_mf_restr","prev_mf_restr","density_mf_restr","Blood_volu_mf_restr","pop_mf_filtration_restr","np_mf_filtration_restr","prev_mf_filtration_restr","density_mf_filtration_restr","Blood_volu_mf_filtration_restr","pop_ict_restr","np_ict_restr","prev_ict_restr","density_ict_restr","Blood_volu_ict_restr","pop_elisa_restr","np_elisa_restr","prev_elisa_restr","density_elisa_restr","Blood_volu_elisa_restr","pop_br_restr","np_br_restr","prev_br_restr","density_br_restr","Blood_volu_br_restr","pop_chamber_restr","np_chamber_restr","prev_chamber_restr","density_chamber_restr","Blood_volu_chamber_restr","pop_knott_restr","np_knott_restr","prev_knott_restr","density_knott_restr","Blood_volu_knott_restr","pop_ifi_restr","np_ifi_restr","prev_ifi_restr","density_ifi_restr","Blood_volu_ifi_restr","pop_pcr_restr","np_pcr_restr","prev_pcr_restr","density_pcr_restr","Blood_volu_pcr_restr","pop_new_rapid_test_restr","np_new_rapid_test_restr","prev_new_rapid_test_restr","density_new_rapid_test_restr","Blood_volu_new_rapid_test_restr","pop_hydrocele_restr","np_hydrocele_restr","prev_hydrocele_restr","density_hydrocele_restr","Blood_volu_hydrocele_restr","pop_lymph_restr","np_lymph_restr","prev_lymph_restr","density_lymph_restr","Blood_volu_lymph_restr","pop_clinic_restr","np_clinic_restr","prev_clinic_restr","density_clinic_restr","Blood_volu_clinic_restr","prev_dx_restr","clinic_dx_restr","miss_year_restr","miss_age_restr","miss_sex_restr","GEO_RELIABILITY_restr","Author_restr","Source_restr","Reference_restr","LF_occurrence_restr","LF_Class_restr","Autonum_restr","data_source","restricted","CONTINENT","REGION","WHO_region","ISO_CTRY","ADM0_NAME","ADM0_CODE","ADM1_NAME","ADM1_CODE","GIVEN_ADM2_NAME","ASSIGNED_ADM2_NAME","GIVEN_ADM2_CODE","ASSIGNED_ADM2_CODE","Type_District","Low_ADM_Level","Site name","Name_Positioning","Urban/rural","Cartography","point","latitude","longitude","shapefile","location_code","year_start","year_end","year_survey","month","age_start","age_end","age_group","sex","mda_rounds","data_collect_method","Control_trial","Day/Night","LF_species","Method_1","Method_2","pop_mf","np_mf","prev_mf","density_mf","mfload_method","pop_mf_filtration","np_mf_filtration","prev_mf_filtration","bs_smear","pop_ict","np_ict","prev_ict","bs_ict","pop_elisa","np_elisa","prev_elisa","pop_br","np_br","prev_br","BS_other","pop_hydrocele","np_hydrocele","pop_lymph","np_lymph","pop_clinic","np_clinic","prev_dx","clinic_dx","miss_year","miss_age","miss_sex","GEO_RELIABILITY","day_mf","Source_data","Source_data1","Source_data2","Source_data3","Reference"
"1","2336","LF2038KE","gahi_collab","no","Africa","Eastern Africa","AFRO/EMRO","KE","Kenya",133,"Coast",51326,"Kwale",51341,"Location","Kingwede",1,-4.50337,39.459801,1998,1998,NA,2002,1,99,"Adults/Children",2,0,"Mapping","No","Wuchereria bancrofti",1013,27,0.027,174,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,9,0.051,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," mf density"," hydrocele",0,0,0,1,"Simonsen PE, Meyrowitsch DW, Jaoko WG, Malecela MN, Mukoko D, Pedersen EM, Ouma JH, Rwegoshora RT, Masese N, Magnussen P, Estambale BB and Michael E","Published paper","Bancroftian filariasis infection, disease, and specific antibody response patterns in a high and a low endemicity community in East Africa",1,"1.0-9.9",2038,"gahi_site",NA,"Africa","Eastern Africa","AFRO","KE","Kenya",133,"Coast",51326,"Kwale","Kwale","51341","51341","Administrative","Location","Kingwede","Kingwede","","SALB",1,-4.50337,39.459801,"","",1998,1998,"1998","August",1,99,"Adults/Children",2,0,"Mapping","No","Night","Wuchereria bancrofti","Clinical/Parasitological/Serological","Clinical/Blood smear/ICT",1013,27,0.027,174,4,NA,NA,NA,100,1013,167,0.165,100,NA,NA,NA,NA,NA,NA,NA,177,9,436,4,NA,NA," mf ict density"," hydrocele lymph",0,0,0,1,0,"KEN0013LF","Simonsen et al., 2002","Journal","2002",""
"2","2337","LF2038KE","gahi_collab","no","Africa","Eastern Africa","AFRO/EMRO","KE","Kenya",133,"Coast",51326,"Kwale",51341,"Location","Kingwede",1,-4.50337,39.459801,1998,1998,NA,2002,1,99,"Adults/Children",2,0,"Mapping","No","Wuchereria bancrofti",1013,27,0.027,174,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,9,0.051,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," mf density"," hydrocele",0,0,0,1,"Simonsen PE, Meyrowitsch DW, Jaoko WG, Malecela MN, Mukoko D, Pedersen EM, Ouma JH, Rwegoshora RT, Masese N, Magnussen P, Estambale BB and Michael E","Published paper","Bancroftian filariasis infection, disease, and specific antibody response patterns in a high and a low endemicity community in East Africa",1,"1.0-9.9",2038,"gahi_site","no","Africa","Eastern Africa","AFRO","KE","Kenya",133,"Coast",51326,"Kwale","Kwale","51341","51341","Administrative","Location","Kingwede","Kingwede","","SALB",1,-4.50337,39.459801,"","",1998,1998,"1998","August",1,99,"Adults/Children",2,0,"Mapping","No","Night","Wuchereria bancrofti","Clinical/Parasitological/Serological","Clinical/Blood smear/ICT",1013,27,0.027,174,4,NA,NA,NA,100,1013,167,0.165,100,NA,NA,NA,NA,NA,NA,NA,177,9,436,4,NA,NA," mf ict density"," hydrocele lymph",0,0,0,1,0,"KEN0013LF","Simonsen et al., 2002","Journal","2002",""
"3","2338","LF2038KE","gahi_collab","no","Africa","Eastern Africa","AFRO/EMRO","KE","Kenya",133,"Coast",51326,"Kwale",51341,"Location","Kingwede",1,-4.50337,39.459801,1998,1998,NA,2002,1,99,"Adults/Children",2,0,"Mapping","No","Wuchereria bancrofti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1013,167,0.165,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ict","",0,0,0,1,"Simonsen PE, Meyrowitsch DW, Jaoko WG, Malecela MN, Mukoko D, Pedersen EM, Ouma JH, Rwegoshora RT, Masese N, Magnussen P, Estambale BB and Michael E","Published paper","Bancroftian filariasis infection, disease, and specific antibody response patterns in a high and a low endemicity community in East Africa",1,"10-49.9",2038,"gahi_site",NA,"Africa","Eastern Africa","AFRO","KE","Kenya",133,"Coast",51326,"Kwale","Kwale","51341","51341","Administrative","Location","Kingwede","Kingwede","","SALB",1,-4.50337,39.459801,"","",1998,1998,"1998","August",1,99,"Adults/Children",2,0,"Mapping","No","Night","Wuchereria bancrofti","Clinical/Parasitological/Serological","Clinical/Blood smear/ICT",1013,27,0.027,174,4,NA,NA,NA,100,1013,167,0.165,100,NA,NA,NA,NA,NA,NA,NA,177,9,436,4,NA,NA," mf ict density"," hydrocele lymph",0,0,0,1,0,"KEN0013LF","Simonsen et al., 2002","Journal","2002",""
"4","2339","LF2038KE","gahi_collab","no","Africa","Eastern Africa","AFRO/EMRO","KE","Kenya",133,"Coast",51326,"Kwale",51341,"Location","Kingwede",1,-4.50337,39.459801,1998,1998,NA,2002,1,99,"Adults/Children",2,0,"Mapping","No","Wuchereria bancrofti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1013,167,0.165,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ict","",0,0,0,1,"Simonsen PE, Meyrowitsch DW, Jaoko WG, Malecela MN, Mukoko D, Pedersen EM, Ouma JH, Rwegoshora RT, Masese N, Magnussen P, Estambale BB and Michael E","Published paper","Bancroftian filariasis infection, disease, and specific antibody response patterns in a high and a low endemicity community in East Africa",1,"10-49.9",2038,"gahi_site","no","Africa","Eastern Africa","AFRO","KE","Kenya",133,"Coast",51326,"Kwale","Kwale","51341","51341","Administrative","Location","Kingwede","Kingwede","","SALB",1,-4.50337,39.459801,"","",1998,1998,"1998","August",1,99,"Adults/Children",2,0,"Mapping","No","Night","Wuchereria bancrofti","Clinical/Parasitological/Serological","Clinical/Blood smear/ICT",1013,27,0.027,174,4,NA,NA,NA,100,1013,167,0.165,100,NA,NA,NA,NA,NA,NA,NA,177,9,436,4,NA,NA," mf ict density"," hydrocele lymph",0,0,0,1,0,"KEN0013LF","Simonsen et al., 2002","Journal","2002",""
"5","2340","LF2038KE","gahi_collab","no","Africa","Eastern Africa","AFRO/EMRO","KE","Kenya",133,"Coast",51326,"Kwale",51341,"Location","Kingwede",1,-4.50337,39.459801,1998,1998,NA,2002,1,99,"Adults/Children",2,0,"Mapping","No","Wuchereria bancrofti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,4,0.009,0,0,NA,NA,NA,NA,NA,""," lymph",0,0,0,1,"Simonsen PE, Meyrowitsch DW, Jaoko WG, Malecela MN, Mukoko D, Pedersen EM, Ouma JH, Rwegoshora RT, Masese N, Magnussen P, Estambale BB and Michael E","Published paper","Bancroftian filariasis infection, disease, and specific antibody response patterns in a high and a low endemicity community in East Africa",1,">0-0.9",2038,"gahi_site",NA,"Africa","Eastern Africa","AFRO","KE","Kenya",133,"Coast",51326,"Kwale","Kwale","51341","51341","Administrative","Location","Kingwede","Kingwede","","SALB",1,-4.50337,39.459801,"","",1998,1998,"1998","August",1,99,"Adults/Children",2,0,"Mapping","No","Night","Wuchereria bancrofti","Clinical/Parasitological/Serological","Clinical/Blood smear/ICT",1013,27,0.027,174,4,NA,NA,NA,100,1013,167,0.165,100,NA,NA,NA,NA,NA,NA,NA,177,9,436,4,NA,NA," mf ict density"," hydrocele lymph",0,0,0,1,0,"KEN0013LF","Simonsen et al., 2002","Journal","2002",""
"6","2341","LF2038KE","gahi_collab","no","Africa","Eastern Africa","AFRO/EMRO","KE","Kenya",133,"Coast",51326,"Kwale",51341,"Location","Kingwede",1,-4.50337,39.459801,1998,1998,NA,2002,1,99,"Adults/Children",2,0,"Mapping","No","Wuchereria bancrofti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436,4,0.009,0,0,NA,NA,NA,NA,NA,""," lymph",0,0,0,1,"Simonsen PE, Meyrowitsch DW, Jaoko WG, Malecela MN, Mukoko D, Pedersen EM, Ouma JH, Rwegoshora RT, Masese N, Magnussen P, Estambale BB and Michael E","Published paper","Bancroftian filariasis infection, disease, and specific antibody response patterns in a high and a low endemicity community in East Africa",1,">0-0.9",2038,"gahi_site","no","Africa","Eastern Africa","AFRO","KE","Kenya",133,"Coast",51326,"Kwale","Kwale","51341","51341","Administrative","Location","Kingwede","Kingwede","","SALB",1,-4.50337,39.459801,"","",1998,1998,"1998","August",1,99,"Adults/Children",2,0,"Mapping","No","Night","Wuchereria bancrofti","Clinical/Parasitological/Serological","Clinical/Blood smear/ICT",1013,27,0.027,174,4,NA,NA,NA,100,1013,167,0.165,100,NA,NA,NA,NA,NA,NA,NA,177,9,436,4,NA,NA," mf ict density"," hydrocele lymph",0,0,0,1,0,"KEN0013LF","Simonsen et al., 2002","Journal","2002",""
"7","2529","LF2148KE","gahi_collab","no","Africa","Eastern Africa","AFRO/EMRO","KE","Kenya",257,"Coast",51326,"Kwale",51341,"Location","Kingwede",1,-4.50337,39.459801,1998,1998,NA,2002,1,99,"Adults/Children",2,0,"Mapping","No","Wuchereria bancrofti",825,22,0.027,174,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376,7,0.019,0,0,NA,NA,NA,NA,NA,863,61,0.071,0,0," mf density"," hydrocele clinic",0,0,0,1,"Simonsen PE, Meyrowitsch DW, Jaoko WG, Malecela MN, Mukoko D, Pedersen EM, Ouma JH, Rwegoshora RT, Masese N, Magnussen P, Estambale BB and Michael E","Published paper","Bancroftian filariasis infection, disease, and specific antibody response patterns in a high and a low endemicity community in East Africa",1,"1.0-9.9",2148,"gahi_site",NA,"Africa","Eastern Africa","AFRO","KE","Kenya",257,"Coast",51326,"Kwale","Kwale","51341","51341","Administrative","Location","Kingwede","Kingwede","Rural","SALB",1,-4.50337,39.459801,"","",1998,1998,"1998","July",1,99,"Adults/Children",2,0,"Mapping","No","Night","Wuchereria bancrofti","Clinical/Parasitological/Serological","Clinical/Blood smear/ELISA",825,22,0.027,174,4,NA,NA,NA,100,NA,NA,NA,NA,770,127,0.165,NA,NA,NA,5000,376,7,863,3,863,61," mf elisa density"," hydrocele lymph clinic",0,0,0,1,0,"KEN0013LF","Simonsen et al., 2002","Journal","2002",""
"8","2530","LF2148KE","gahi_collab","no","Africa","Eastern Africa","AFRO/EMRO","KE","Kenya",257,"Coast",51326,"Kwale",51341,"Location","Kingwede",1,-4.50337,39.459801,1998,1998,NA,2002,1,99,"Adults/Children",2,0,"Mapping","No","Wuchereria bancrofti",825,22,0.027,174,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376,7,0.019,0,0,NA,NA,NA,NA,NA,863,61,0.071,0,0," mf density"," hydrocele clinic",0,0,0,1,"Simonsen PE, Meyrowitsch DW, Jaoko WG, Malecela MN, Mukoko D, Pedersen EM, Ouma JH, Rwegoshora RT, Masese N, Magnussen P, Estambale BB and Michael E","Published paper","Bancroftian filariasis infection, disease, and specific antibody response patterns in a high and a low endemicity community in East Africa",1,"1.0-9.9",2148,"gahi_site","no","Africa","Eastern Africa","AFRO","KE","Kenya",257,"Coast",51326,"Kwale","Kwale","51341","51341","Administrative","Location","Kingwede","Kingwede","Rural","SALB",1,-4.50337,39.459801,"","",1998,1998,"1998","July",1,99,"Adults/Children",2,0,"Mapping","No","Night","Wuchereria bancrofti","Clinical/Parasitological/Serological","Clinical/Blood smear/ELISA",825,22,0.027,174,4,NA,NA,NA,100,NA,NA,NA,NA,770,127,0.165,NA,NA,NA,5000,376,7,863,3,863,61," mf elisa density"," hydrocele lymph clinic",0,0,0,1,0,"KEN0013LF","Simonsen et al., 2002","Journal","2002",""
"9","2531","LF2148KE","gahi_collab","no","Africa","Eastern Africa","AFRO/EMRO","KE","Kenya",257,"Coast",51326,"Kwale",51341,"Location","Kingwede",1,-4.50337,39.459801,1998,1998,NA,2002,1,99,"Adults/Children",2,0,"Mapping","No","Wuchereria bancrofti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770,127,0.165,0,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," elisa","",0,0,0,1,"Simonsen PE, Meyrowitsch DW, Jaoko WG, Malecela MN, Mukoko D, Pedersen EM, Ouma JH, Rwegoshora RT, Masese N, Magnussen P, Estambale BB and Michael E","Published paper","Bancroftian filariasis infection, disease, and specific antibody response patterns in a high and a low endemicity community in East Africa",1,"10-49.9",2148,"gahi_site",NA,"Africa","Eastern Africa","AFRO","KE","Kenya",257,"Coast",51326,"Kwale","Kwale","51341","51341","Administrative","Location","Kingwede","Kingwede","Rural","SALB",1,-4.50337,39.459801,"","",1998,1998,"1998","July",1,99,"Adults/Children",2,0,"Mapping","No","Night","Wuchereria bancrofti","Clinical/Parasitological/Serological","Clinical/Blood smear/ELISA",825,22,0.027,174,4,NA,NA,NA,100,NA,NA,NA,NA,770,127,0.165,NA,NA,NA,5000,376,7,863,3,863,61," mf elisa density"," hydrocele lymph clinic",0,0,0,1,0,"KEN0013LF","Simonsen et al., 2002","Journal","2002",""
"10","2532","LF2148KE","gahi_collab","no","Africa","Eastern Africa","AFRO/EMRO","KE","Kenya",257,"Coast",51326,"Kwale",51341,"Location","Kingwede",1,-4.50337,39.459801,1998,1998,NA,2002,1,99,"Adults/Children",2,0,"Mapping","No","Wuchereria bancrofti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,770,127,0.165,0,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," elisa","",0,0,0,1,"Simonsen PE, Meyrowitsch DW, Jaoko WG, Malecela MN, Mukoko D, Pedersen EM, Ouma JH, Rwegoshora RT, Masese N, Magnussen P, Estambale BB and Michael E","Published paper","Bancroftian filariasis infection, disease, and specific antibody response patterns in a high and a low endemicity community in East Africa",1,"10-49.9",2148,"gahi_site","no","Africa","Eastern Africa","AFRO","KE","Kenya",257,"Coast",51326,"Kwale","Kwale","51341","51341","Administrative","Location","Kingwede","Kingwede","Rural","SALB",1,-4.50337,39.459801,"","",1998,1998,"1998","July",1,99,"Adults/Children",2,0,"Mapping","No","Night","Wuchereria bancrofti","Clinical/Parasitological/Serological","Clinical/Blood smear/ELISA",825,22,0.027,174,4,NA,NA,NA,100,NA,NA,NA,NA,770,127,0.165,NA,NA,NA,5000,376,7,863,3,863,61," mf elisa density"," hydrocele lymph clinic",0,0,0,1,0,"KEN0013LF","Simonsen et al., 2002","Journal","2002",""
