specificity,file_path,row_num,row_id,field_citation,field_iso3,parent_id,input_type,modelable_entity_id,modelable_entity_name,underlying_nid,underlying_field_citation_value,page_num,table_num,source_type,location_name,location_name_2,location_id_2,location flag,location_id,ihme_loc_id,smaller_site_unit,site_memo,representative_name,urbanicity_type,recall_type,recall_type_value,sampling_type,lat,long,latlong_source+S:Z,location type,geo_accuracy,geo_precision,shape_type,poly_type,buffer_radius,poly_reference,poly_id,poly_id_field_name,site_notes,sex,sex_issue,year_start,month_start,year_end,month_end,year_accuracy,year_issue,age_start,age_end,age_issue,age_demographer,measure,range_only,range_lower,range_upper,mean,lower,upper,standard_error,effective_sample_size,cases,sample_size,mf_density_pos,mf_density_tot,density issue,density notes,design_effect,unit_type,unit_value_as_published,measure_issue,measure_adjustment,uncertainty_type,uncertainty_type_value,response_rate,case_name,case_definition,case_diagnostics,filarial species,vector Culex,vector Anopheles,vector Aedes,vector Mansonia,dominant vector,group,unique,group_review,note_modeler,note_SR,Exclude,extractor,is_outlier,data_sheet_filepath,cv_TxNum,cv_TxPerc,COMMENTS,cv_MDAbase,cv_MDAend,cv_MDAschool,n_rounds,cv_SS,cv_spotcheck,cv_LQAS,cv_mapping_survey,cv_ICT,cv_blood_smear,cv_filter,cv_Og4C3,cv_oth_diag,cv_vector control,cv_OtherIntervention1,cv_OtherIntervention2,InterventionType,cv_Slum,CityName,cv_Pregnant,cv_Indigenous,GroupName,cv_DxType,cv_NumStools,cv_DxConcentration,loc_id,title,nid,diag_BS,diag_ICT,diag_ELISA_Ab,diag_ELISA_Ag,diag_other,V2,Comments_KK
total,J:\Project\NTDS\data\LF\Exctracted PDFs\Won_Assessing_Impact_Missed_MDA_Haiti.PDF,2779,82,"#*#Author#*#Won KY, de Rochars MB, Kyelem D, Streit TG, Lammie PJ. #*#Title#*#Assessing the Impact of a Missed Mass Drug Administration in Haiti. #*#Journal#*#Plos Neglected Tropical Diseases. #*#Date#*#2009 Aug;#*#Volume#*#3(8)#*#Pages#*#:e443.",HTI,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Haiti|HTI,,NA,NA,114,HTI,1,"Leogane town, Leogane",Representative for subnational location only,unknown,Point,NA,,18.510478,-72.627547,,,0,0,point,,NA,,NA,,,Both,NA,2007,,2007,,0,NA,0,99,1,1,prevalence,NA,NA,NA,0.312,NA,NA,NA,NA,NA,430,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,antigenemia,CFA in blood,ICT test postive,Wuchereria bancrofti,1,NA,NA,NA,Culex,337,337.1,NA,NA,No age range given. Survey two years after last of 5 years of MDA.,NA,cserway,0,NA,NA,,,NA,1,NA,5,1,NA,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,Assessing the Impact of a Missed Mass Drug Administration in Haiti,288867,NA,1,0,NA,0,11,valid
total,J:\Project\NTDS\data\LF\Exctracted PDFs\Won_Assessing_Impact_Missed_MDA_Haiti.PDF,2781,82,"#*#Author#*#Won KY, de Rochars MB, Kyelem D, Streit TG, Lammie PJ. #*#Title#*#Assessing the Impact of a Missed Mass Drug Administration in Haiti. #*#Journal#*#Plos Neglected Tropical Diseases. #*#Date#*#2009 Aug;#*#Volume#*#3(8)#*#Pages#*#:e443.",HTI,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Haiti|HTI,,NA,NA,114,HTI,1,"Leogane town, Leogane",Representative for subnational location only,unknown,Point,NA,,18.510478,-72.627547,,,0,0,point,,NA,,NA,,,Both,NA,2007,,2007,,0,NA,0,99,1,1,prevalence,NA,NA,NA,0.064,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,persons showing microfilaria,microfilaria in blood,microfilaria in a 60 cmm blood smear,Wuchereria bancrofti,1,NA,NA,NA,Culex,337,337.2,NA,NA,No age range given. Survey two years after last of 5 years of MDA.,NA,cserway,0,NA,NA,,,NA,1,NA,5,1,NA,NA,NA,NA,1,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,Assessing the Impact of a Missed Mass Drug Administration in Haiti,288867,1,NA,0,NA,0,11,valid
total,J:\Project\NTDS\data\LF\Exctracted PDFs\Won_Assessing_Impact_Missed_MDA_Haiti.PDF,2780,82,"#*#Author#*#Won KY, de Rochars MB, Kyelem D, Streit TG, Lammie PJ. #*#Title#*#Assessing the Impact of a Missed Mass Drug Administration in Haiti. #*#Journal#*#Plos Neglected Tropical Diseases. #*#Date#*#2009 Aug;#*#Volume#*#3(8)#*#Pages#*#:e443.",HTI,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Haiti|HTI,,NA,NA,114,HTI,1,"Masson-Mathieu, Leogane",Representative for subnational location only,unknown,Point,NA,,18.51667,-72.58333,,,1,0,point,,NA,,NA,,,Both,NA,2007,,2007,,0,NA,0,99,1,1,prevalence,NA,NA,NA,0.145,NA,NA,NA,NA,NA,489,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,antigenemia,CFA in blood,ICT test postive,Wuchereria bancrofti,1,NA,NA,NA,Culex,338,338.1,NA,NA,No age range given. Survey two years after last of 5 years of MDA.,NA,cserway,0,NA,NA,,,NA,1,NA,5,1,NA,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,Assessing the Impact of a Missed Mass Drug Administration in Haiti,288867,NA,1,0,NA,0,11,valid
total,J:\Project\NTDS\data\LF\Exctracted PDFs\Won_Assessing_Impact_Missed_MDA_Haiti.PDF,2782,82,"#*#Author#*#Won KY, de Rochars MB, Kyelem D, Streit TG, Lammie PJ. #*#Title#*#Assessing the Impact of a Missed Mass Drug Administration in Haiti. #*#Journal#*#Plos Neglected Tropical Diseases. #*#Date#*#2009 Aug;#*#Volume#*#3(8)#*#Pages#*#:e443.",HTI,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Haiti|HTI,,NA,NA,114,HTI,1,"Masson-Mathieu, Leogane",Representative for subnational location only,unknown,Point,NA,,18.51667,-72.58333,,,1,0,point,,NA,,NA,,,Both,NA,2007,,2007,,0,NA,0,99,1,1,prevalence,NA,NA,NA,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,person,1,NA,NA,NA,NA,NA,persons showing microfilaria,microfilaria in blood,microfilaria in a 60 cmm blood smear,Wuchereria bancrofti,1,NA,NA,NA,Culex,338,338.2,NA,NA,No age range given. Survey two years after last of 5 years of MDA.,NA,cserway,0,NA,NA,,,NA,1,NA,5,1,NA,NA,NA,NA,1,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,Assessing the Impact of a Missed Mass Drug Administration in Haiti,288867,1,NA,0,NA,0,11,valid
total,J:\Project\NTDS\data\LF\Exctracted PDFs\Won_Assessing_Impact_Missed_MDA_Haiti.PDF,4419,82,"#*#Author#*#Won KY, de Rochars MB, Kyelem D, Streit TG, Lammie PJ. #*#Title#*#Assessing the Impact of a Missed Mass Drug Administration in Haiti. #*#Journal#*#Plos Neglected Tropical Diseases. #*#Date#*#2009 Aug;#*#Volume#*#3(8)#*#Pages#*#:e443.",HTI,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Haiti|HTI,,NA,NA,114,HTI,1,"Leogane town, Leogane",Representative for subnational location only,unknown,Point,NA,,18.510478,-72.627547,,,0,0,point,,NA,,NA,,,Both,NA,2000,,2000,,0,NA,0,99,1,1,prevalence,NA,NA,NA,0.500534759,NA,NA,NA,NA,NA,603,NA,NA,NA,,NA,person,1,0,NA,NA,NA,NA,antigenemia,CFA in blood,ICT test postive,Wuchereria bancrofti,1,NA,NA,NA,Culex,1444,1444,NA,NA,No age range given.,NA,cserway,0,NA,NA,,,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,Assessing the Impact of a Missed Mass Drug Administration in Haiti,288867,NA,1,0,NA,0,11,
total,J:\Project\NTDS\data\LF\Exctracted PDFs\Won_Assessing_Impact_Missed_MDA_Haiti.PDF,4420,82,"#*#Author#*#Won KY, de Rochars MB, Kyelem D, Streit TG, Lammie PJ. #*#Title#*#Assessing the Impact of a Missed Mass Drug Administration in Haiti. #*#Journal#*#Plos Neglected Tropical Diseases. #*#Date#*#2009 Aug;#*#Volume#*#3(8)#*#Pages#*#:e443.",HTI,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Haiti|HTI,,NA,NA,114,HTI,1,"Masson-Mathieu, Leogane",Representative for subnational location only,unknown,Point,NA,,18.51667,-72.58333,,,1,0,point,,NA,,NA,,,Both,NA,2000,,2000,,0,NA,0,99,1,1,prevalence,NA,NA,NA,0.370053476,NA,NA,NA,NA,NA,1151,NA,NA,NA,,NA,person,1,0,NA,NA,NA,NA,antigenemia,CFA in blood,ICT test postive,Wuchereria bancrofti,1,NA,NA,NA,Culex,1445,1445,NA,NA,No age range given.,NA,cserway,0,NA,NA,,,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,Assessing the Impact of a Missed Mass Drug Administration in Haiti,288867,NA,1,0,NA,0,11,
total,J:\Project\NTDS\data\LF\Exctracted PDFs\Won_Assessing_Impact_Missed_MDA_Haiti.PDF,4421,82,"#*#Author#*#Won KY, de Rochars MB, Kyelem D, Streit TG, Lammie PJ. #*#Title#*#Assessing the Impact of a Missed Mass Drug Administration in Haiti. #*#Journal#*#Plos Neglected Tropical Diseases. #*#Date#*#2009 Aug;#*#Volume#*#3(8)#*#Pages#*#:e443.",HTI,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Haiti|HTI,,NA,NA,114,HTI,1,"Leogane town, Leogane",Representative for subnational location only,unknown,Point,NA,,18.510478,-72.627547,,,0,0,point,,NA,,NA,,,Both,NA,2001,,2001,,0,NA,0,99,1,1,prevalence,NA,NA,NA,0.389304813,NA,NA,NA,NA,NA,495,NA,NA,NA,,NA,person,1,0,NA,NA,NA,NA,antigenemia,CFA in blood,ICT test postive,Wuchereria bancrofti,1,NA,NA,NA,Culex,1446,1446,NA,NA,No age range given.,NA,cserway,0,NA,NA,,,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,Assessing the Impact of a Missed Mass Drug Administration in Haiti,288867,NA,1,0,NA,0,11,
total,J:\Project\NTDS\data\LF\Exctracted PDFs\Won_Assessing_Impact_Missed_MDA_Haiti.PDF,4422,82,"#*#Author#*#Won KY, de Rochars MB, Kyelem D, Streit TG, Lammie PJ. #*#Title#*#Assessing the Impact of a Missed Mass Drug Administration in Haiti. #*#Journal#*#Plos Neglected Tropical Diseases. #*#Date#*#2009 Aug;#*#Volume#*#3(8)#*#Pages#*#:e443.",HTI,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Haiti|HTI,,NA,NA,114,HTI,1,"Masson-Mathieu, Leogane",Representative for subnational location only,unknown,Point,NA,,18.51667,-72.58333,,,1,0,point,,NA,,NA,,,Both,NA,2001,,2001,,0,NA,0,99,1,1,prevalence,NA,NA,NA,0.272727273,NA,NA,NA,NA,NA,591,NA,NA,NA,,NA,person,1,0,NA,NA,NA,NA,antigenemia,CFA in blood,ICT test postive,Wuchereria bancrofti,1,NA,NA,NA,Culex,1447,1447,NA,NA,No age range given.,NA,cserway,0,NA,NA,,,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,Assessing the Impact of a Missed Mass Drug Administration in Haiti,288867,NA,1,0,NA,0,11,
total,J:\Project\NTDS\data\LF\Exctracted PDFs\Won_Assessing_Impact_Missed_MDA_Haiti.PDF,4423,82,"#*#Author#*#Won KY, de Rochars MB, Kyelem D, Streit TG, Lammie PJ. #*#Title#*#Assessing the Impact of a Missed Mass Drug Administration in Haiti. #*#Journal#*#Plos Neglected Tropical Diseases. #*#Date#*#2009 Aug;#*#Volume#*#3(8)#*#Pages#*#:e443.",HTI,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Haiti|HTI,,NA,NA,114,HTI,1,"Leogane town, Leogane",Representative for subnational location only,unknown,Point,NA,,18.510478,-72.627547,,,0,0,point,,NA,,NA,,,Both,NA,2002,,2002,,0,NA,0,99,1,1,prevalence,NA,NA,NA,0.432085561,NA,NA,NA,NA,NA,265,NA,NA,NA,,NA,person,1,0,NA,NA,NA,NA,antigenemia,CFA in blood,ICT test postive,Wuchereria bancrofti,1,NA,NA,NA,Culex,1448,1448,NA,NA,No age range given.,NA,cserway,0,NA,NA,,,NA,1,NA,2,1,NA,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,Assessing the Impact of a Missed Mass Drug Administration in Haiti,288867,NA,1,0,NA,0,11,
total,J:\Project\NTDS\data\LF\Exctracted PDFs\Won_Assessing_Impact_Missed_MDA_Haiti.PDF,4424,82,"#*#Author#*#Won KY, de Rochars MB, Kyelem D, Streit TG, Lammie PJ. #*#Title#*#Assessing the Impact of a Missed Mass Drug Administration in Haiti. #*#Journal#*#Plos Neglected Tropical Diseases. #*#Date#*#2009 Aug;#*#Volume#*#3(8)#*#Pages#*#:e443.",HTI,NA,NA,1491,Prevalence of detectable microfiliaria due to lymphatic filariasis,NA,NA,,,Survey - cross-sectional,Haiti|HTI,,NA,NA,114,HTI,1,"Masson-Mathieu, Leogane",Representative for subnational location only,unknown,Point,NA,,18.51667,-72.58333,,,1,0,point,,NA,,NA,,,Both,NA,2002,,2002,,0,NA,0,99,1,1,prevalence,NA,NA,NA,0.402139037,NA,NA,NA,NA,NA,498,NA,NA,NA,,NA,person,1,0,NA,NA,NA,NA,antigenemia,CFA in blood,ICT test postive,Wuchereria bancrofti,1,NA,NA,NA,Culex,1449,1449,NA,NA,No age range given.,NA,cserway,0,NA,NA,,,NA,1,NA,2,1,NA,NA,NA,1,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,Assessing the Impact of a Missed Mass Drug Administration in Haiti,288867,NA,1,0,NA,0,11,
