"","diagnostic","row_num","parent_id","input_type","modelable_entity_id","modelable_entity_name","underlying_nid","nid","underlying_field_citation_value","field_citation_value","file_path","page_num","table_num","source_type","location_name","location_name_2","location_id_2","location flag","location_id","ihme_loc_id","smaller_site_unit","site_memo","representative_name","urbanicity_type","recall_type","recall_type_value","sampling_type","lat","long","latlong_source+S:Z","location type","geo_accuracy","geo_precision","shape_type","poly_type","buffer_radius","poly_reference","poly_id","poly_id_field_name","site_notes","sex","sex_issue","year_start","month_start","year_end","month_end","year_accuracy","year_issue","age_start","age_end","age_issue","age_demographer","measure","range_only","range_lower","range_upper","mean","lower","upper","standard_error","effective_sample_size","cases","sample_size","mf_density_pos","mf_density_tot","density issue","density notes","design_effect","unit_type","unit_value_as_published","measure_issue","measure_adjustment","uncertainty_type","uncertainty_type_value","response_rate","case_name","case_definition","case_diagnostics","filarial species","vector Culex","vector Anopheles","vector Aedes","vector Mansonia","dominant vector","group","specificity","unique","group_review","note_modeler","note_SR","Exclude","extractor","is_outlier","data_sheet_filepath","cv_TxNum","cv_TxPerc","COMMENTS","cv_MDAbase","cv_MDAend","cv_MDAschool","n_rounds","cv_SS","cv_spotcheck","cv_LQAS","cv_mapping_survey","cv_ICT","cv_blood_smear","cv_filter","cv_Og4C3","cv_oth_diag","cv_vector control","cv_OtherIntervention1","cv_OtherIntervention2","InterventionType","cv_Slum","CityName","cv_Pregnant","cv_Indigenous","GroupName","cv_DxType","cv_NumStools","cv_DxConcentration","diagnostic_name"
"1",1,"855","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","136540","","","J:\Project\NTDS\data\LF\Exctracted PDFs\Rajendran_Mass_Admin_DEC_Albendazole.pdf","598","1","Survey - cross-sectional","Tamil N?du|IND_4870","","#N/A","","4870","IND_4870","1","Tirokoilur and Mugaiyur revenue units of Villupuram district","Representative for subnational location only","Rural","Point","","","","","","revenu unit","0","0","polygon","custom","","J:\Project\NTDS\data\LF\Shapefiles\India_LF_Rajendran_2002.shp","0","UniqueID","created custom shapefile to capture these two areas","Both","0","2001",NA,"2001",NA,"0","0","2","9","0","1","prevalence","","","","0.1274","","","","","","628","","","","","","person","1","","","","","","antigenaemia","CFA in blood","ICT card test postive","Wuchereria bancrofti",NA,NA,NA,NA,"","140","age","140","","","Prior to new MDA strategy in 2001 (previous MDA in 1998-2000)",NA,"cserway","0","","","","","1","","","3","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"2",1,"856","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","136540","","","J:\Project\NTDS\data\LF\Exctracted PDFs\Rajendran_Mass_Admin_DEC_Albendazole.pdf","598","1","Survey - cross-sectional","Tamil N?du|IND_4870","","#N/A","","4870","IND_4870","1","Tirokoilur and Mugaiyur revenue units of Villupuram district","Representative for subnational location only","Rural","Point","","","","","","revenu unit","0","0","polygon","custom","","J:\Project\NTDS\data\LF\Shapefiles\India_LF_Rajendran_2002.shp","0","UniqueID","created custom shapefile to capture these two areas","Both","0","2001",NA,"2001",NA,"0","0","10","25","0","1","prevalence","","","","0.2358","","","","","","386","","","","","","person","1","","","","","","antigenaemia","CFA in blood","ICT card test postive","Wuchereria bancrofti",NA,NA,NA,NA,"","140","age","140","","","Prior to new MDA strategy in 2001 (previous MDA in 1998-2000)",NA,"cserway","0","","","","","1","","","3","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"3",1,"861","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","137363","","","J:\Project\NTDS\data\LF\Exctracted PDFs\Ramzy_Single_Dose_DEC_Egypt.pdf","197","1","Survey - cross-sectional","Egypt|EGY","","#N/A","","141","EGY","1","Shibin al-Qanatir","Representative for subnational location only","Rural","Point","","","","","","district","0","0","polygon","admin","","J:\WORK\11_geospatial\06_original shapefiles\GAUL_admin\admin2\g2015_1998_2\g2015_1998_2.shp","65819","ADM2_CODE","","Both","0","1998",NA,"1998",NA,"0","0","4","99","1","1","prevalence","","","","0.092","","","","","","1910","","","","","","person","1","","","","","","antigenaemia","CFA in blood","ICT card test postive","Wuchereria bancrofti",NA,NA,NA,NA,"","141","total","141.3","","","Upper age limit not specified",NA,"cserway","0","","","","","","","","","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"4",1,"878","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","136515","","","J:\Project\NTDS\data\LF\Exctracted PDFs\Kyelem_Impact_Long_term_Ivermectin_Burkina_Faso.pdf","","","Survey - cross-sectional","Burkina Faso|BFA","","#N/A","","201","BFA","1","Dano department","Representative for subnational location only","Rural","Point","","","","","","subdistrict","0","0","polygon","admin","","J:\WORK\11_geospatial\06_original shapefiles\GAUL_admin\admin2\g2015_1996_2\g2015_1996_2.shp","62034","ADM2_CODE","Could not geolocate villages; aggregating to the department level","Both","0","2001","Nov","2001","Dec","0","","1","5","0","1","prevalence","","","","0.13383","","","","","","529","","","","","","person","1","","1","","","","antigenaemia","CFA in blood","ICT card test postive","Wuchereria bancrofti",NA,NA,NA,NA,"","148","age","148.1","","","Nearly half of those surveyed (46.7%) resided in villages where mass administration of ivermectin had occurred twice yearly in 1996, 1997, 1998, once in 2000, and once in 2001, 6 months prior to the survey. Others resided in untreated villages.",NA,"cserway","0","","","","","","","","","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"5",1,"879","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","136515","","","J:\Project\NTDS\data\LF\Exctracted PDFs\Kyelem_Impact_Long_term_Ivermectin_Burkina_Faso.pdf","","","Survey - cross-sectional","Burkina Faso|BFA","","#N/A","","201","BFA","1","Dano department","Representative for subnational location only","Rural","Point","","","","","","subdistrict","0","0","polygon","admin","","J:\WORK\11_geospatial\06_original shapefiles\GAUL_admin\admin2\g2015_1996_2\g2015_1996_2.shp","62034","ADM2_CODE","Could not geolocate villages; aggregating to the department level","Both","0","2001","Nov","2001","Dec","0","","6","10","0","1","prevalence","","","","0.12243","","","","","","733","","","","","","person","1","","1","","","","antigenaemia","CFA in blood","ICT card test postive","Wuchereria bancrofti",NA,NA,NA,NA,"","148","age","148.1","","","Nearly half of those surveyed (46.7%) resided in villages where mass administration of ivermectin had occurred twice yearly in 1996, 1997, 1998, once in 2000, and once in 2001, 6 months prior to the survey. Others resided in untreated villages.",NA,"cserway","0","","","","","","","","","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"6",1,"880","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","136515","","","J:\Project\NTDS\data\LF\Exctracted PDFs\Kyelem_Impact_Long_term_Ivermectin_Burkina_Faso.pdf","","","Survey - cross-sectional","Burkina Faso|BFA","","#N/A","","201","BFA","1","Dano department","Representative for subnational location only","Rural","Point","","","","","","subdistrict","0","0","polygon","admin","","J:\WORK\11_geospatial\06_original shapefiles\GAUL_admin\admin2\g2015_1996_2\g2015_1996_2.shp","62034","ADM2_CODE","Could not geolocate villages; aggregating to the department level","Both","0","2001","Nov","2001","Dec","0","","11","15","0","1","prevalence","","","","0.43744","","","","","","437","","","","","","person","1","","1","","","","antigenaemia","CFA in blood","ICT card test postive","Wuchereria bancrofti",NA,NA,NA,NA,"","148","age","148.1","","","Nearly half of those surveyed (46.7%) resided in villages where mass administration of ivermectin had occurred twice yearly in 1996, 1997, 1998, once in 2000, and once in 2001, 6 months prior to the survey. Others resided in untreated villages.",NA,"cserway","0","","","","","","","","","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"7",1,"881","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","136515","","","J:\Project\NTDS\data\LF\Exctracted PDFs\Kyelem_Impact_Long_term_Ivermectin_Burkina_Faso.pdf","","","Survey - cross-sectional","Burkina Faso|BFA","","#N/A","","201","BFA","1","Dano department","Representative for subnational location only","Rural","Point","","","","","","subdistrict","0","0","polygon","admin","","J:\WORK\11_geospatial\06_original shapefiles\GAUL_admin\admin2\g2015_1996_2\g2015_1996_2.shp","62034","ADM2_CODE","Could not geolocate villages; aggregating to the department level","Both","0","2001","Nov","2001","Dec","0","","15","99","1","1","prevalence","","","","0.57276","","","","","","1603","","","","","","person","1","","1","","","","antigenaemia","CFA in blood","ICT card test postive","Wuchereria bancrofti",NA,NA,NA,NA,"","148","age","148.1","","","Nearly half of those surveyed (46.7%) resided in villages where mass administration of ivermectin had occurred twice yearly in 1996, 1997, 1998, once in 2000, and once in 2001, 6 months prior to the survey. Others resided in untreated villages.",NA,"cserway","0","","","","","","","","","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"8",1,"953","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","","","#*#Author#*#Leang R, Socheat D, Bin B, Bunkea T, Odermatt P. #*#Title#*#Assessment of disease and infection of lymphatic filariasis in Northeastern Cambodia. #*#Journal#*#Tropical Medicine & International Health. #*#Date#*#2004 Oct;#*#Volume#*#9(10)#*#Pages#*#:1115–20. 
","J:\Project\NTDS\data\LF\Exctracted PDFs\Leang_Disease_Infection_LF_Cambodia.pdf","1119","5","Survey - cross-sectional","Cambodia|KHM","","#N/A","","10","KHM","1","Mondulkiri","Representative for subnational location only","Unknown","Point","","","","","","province","0","0","polygon","admin","","J:\WORK\11_geospatial\06_original shapefiles\GAUL_admin\admin1\g2015_2001_1\g2015_2001_1.shp","803","ADM1_CODE","","Both","0","2001","Feb","2001","Apr","0","","0","99","1","1","prevalence","","","","","","","","","0","898","","","","","","person","1","","","","","","antigenaemia","CFA in blood","ICT card test postive","Wuchereria bancrofti",1,1,1,1,"","156","location and species","156.03","","","Some participants (36) selected because they showed symptoms of the leg or scrotum, but most were recruited from randomly selected households.",NA,"cserway","0","","","","","","","","","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"9",1,"956","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","","","#*#Author#*#Leang R, Socheat D, Bin B, Bunkea T, Odermatt P. #*#Title#*#Assessment of disease and infection of lymphatic filariasis in Northeastern Cambodia. #*#Journal#*#Tropical Medicine & International Health. #*#Date#*#2004 Oct;#*#Volume#*#9(10)#*#Pages#*#:1115–20. 
","J:\Project\NTDS\data\LF\Exctracted PDFs\Leang_Disease_Infection_LF_Cambodia.pdf","1119","5","Survey - cross-sectional","Cambodia|KHM","","#N/A","","10","KHM","1","Preah Vihear","Representative for subnational location only","Unknown","Point","","","","","","province","0","0","polygon","admin","","J:\WORK\11_geospatial\06_original shapefiles\GAUL_admin\admin1\g2015_2001_1\g2015_2001_1.shp","807","ADM1_CODE","","Both","0","2001","Feb","2001","Apr","0","","0","99","1","1","prevalence","","","","","","","","","2","919","","","","","","person","1","","","","","","antigenaemia","CFA in blood","ICT card test postive","Wuchereria bancrofti",1,1,1,1,"","156","location and species","156.06","","","Some participants (26) selected because they showed symptoms of the leg or scrotum, but most were recruited from randomly selected households.",NA,"cserway","0","","","","","","","","","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
"10",1,"959","","","1491","Prevalence of detectable microfiliaria due to lymphatic filariasis","","","","#*#Author#*#Leang R, Socheat D, Bin B, Bunkea T, Odermatt P. #*#Title#*#Assessment of disease and infection of lymphatic filariasis in Northeastern Cambodia. #*#Journal#*#Tropical Medicine & International Health. #*#Date#*#2004 Oct;#*#Volume#*#9(10)#*#Pages#*#:1115–20. 
","J:\Project\NTDS\data\LF\Exctracted PDFs\Leang_Disease_Infection_LF_Cambodia.pdf","1119","5","Survey - cross-sectional","Cambodia|KHM","","#N/A","","10","KHM","1","Ratanak Kiri","Representative for subnational location only","Unknown","Point","","","","","","province","0","0","polygon","admin","","J:\WORK\11_geospatial\06_original shapefiles\GAUL_admin\admin1\g2015_2001_1\g2015_2001_1.shp","810","ADM1_CODE","","Both","0","2001","Feb","2001","Apr","0","","0","99","1","1","prevalence","","","","","","","","","12","618","","","","","","person","1","","","","","","antigenaemia","CFA in blood","ICT card test postive","Wuchereria bancrofti",1,1,1,1,"","156","location and species","156.09","","","Some participants (77) selected because they showed symptoms of the leg or scrotum, but most were recruited from randomly selected households.",NA,"cserway","0","","","","","","","","","","","","","1","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ict"
