"","V1","uid_from_source_restr","data_source_restr","restricted_restr","CONTINENT_restr","REGION_restr","WHO_region_restr","ISO_CTRY_restr","ADM0_restr","ADM0_ID_restr","ADM1_restr","ADM1_ID_restr","ADM2_restr","ADM2_ID_restr","TypeSite_restr","Site_name_restr","point_restr","latitude_restr","longitude_restr","year_start_restr","year_end_restr","year_survey_restr","year_pub_restr","age_start_restr","age_end_restr","age_group_restr","sex_restr","mda_rounds_restr","data_collect_method_restr","Control_trial_restr","LF_species_restr","pop_mf_restr","np_mf_restr","prev_mf_restr","density_mf_restr","Blood_volu_mf_restr","pop_mf_filtration_restr","np_mf_filtration_restr","prev_mf_filtration_restr","density_mf_filtration_restr","Blood_volu_mf_filtration_restr","pop_ict_restr","np_ict_restr","prev_ict_restr","density_ict_restr","Blood_volu_ict_restr","pop_elisa_restr","np_elisa_restr","prev_elisa_restr","density_elisa_restr","Blood_volu_elisa_restr","pop_br_restr","np_br_restr","prev_br_restr","density_br_restr","Blood_volu_br_restr","pop_chamber_restr","np_chamber_restr","prev_chamber_restr","density_chamber_restr","Blood_volu_chamber_restr","pop_knott_restr","np_knott_restr","prev_knott_restr","density_knott_restr","Blood_volu_knott_restr","pop_ifi_restr","np_ifi_restr","prev_ifi_restr","density_ifi_restr","Blood_volu_ifi_restr","pop_pcr_restr","np_pcr_restr","prev_pcr_restr","density_pcr_restr","Blood_volu_pcr_restr","pop_new_rapid_test_restr","np_new_rapid_test_restr","prev_new_rapid_test_restr","density_new_rapid_test_restr","Blood_volu_new_rapid_test_restr","pop_hydrocele_restr","np_hydrocele_restr","prev_hydrocele_restr","density_hydrocele_restr","Blood_volu_hydrocele_restr","pop_lymph_restr","np_lymph_restr","prev_lymph_restr","density_lymph_restr","Blood_volu_lymph_restr","pop_clinic_restr","np_clinic_restr","prev_clinic_restr","density_clinic_restr","Blood_volu_clinic_restr","prev_dx_restr","clinic_dx_restr","miss_year_restr","miss_age_restr","miss_sex_restr","GEO_RELIABILITY_restr","Author_restr","Source_restr","Reference_restr","LF_occurrence_restr","LF_Class_restr","Autonum_restr","data_source","restricted","CONTINENT","REGION","WHO_region","ISO_CTRY","ADM0_NAME","ADM0_CODE","ADM1_NAME","ADM1_CODE","GIVEN_ADM2_NAME","ASSIGNED_ADM2_NAME","GIVEN_ADM2_CODE","ASSIGNED_ADM2_CODE","Type_District","Low_ADM_Level","Site name","Name_Positioning","Urban/rural","Cartography","point","latitude","longitude","shapefile","location_code","year_start","year_end","year_survey","month","age_start","age_end","age_group","sex","mda_rounds","data_collect_method","Control_trial","Day/Night","LF_species","Method_1","Method_2","pop_mf","np_mf","prev_mf","density_mf","mfload_method","pop_mf_filtration","np_mf_filtration","prev_mf_filtration","bs_smear","pop_ict","np_ict","prev_ict","bs_ict","pop_elisa","np_elisa","prev_elisa","pop_br","np_br","prev_br","BS_other","pop_hydrocele","np_hydrocele","pop_lymph","np_lymph","pop_clinic","np_clinic","prev_dx","clinic_dx","miss_year","miss_age","miss_sex","GEO_RELIABILITY","day_mf","Source_data","Source_data1","Source_data2","Source_data3","Reference"
"1","1502","LF1491EG","gahi_collab","no","Africa","Northern Africa","AFRO/EMRO","EG","Egypt",40765,"Ash Sharqiyah (sharkia)",1172,"Administrative unit not available",15554,"Area","Tahoria/Kafr Tahoria",1,30.357851,31.321922,2000,2000,NA,2006,0,0,"Adults/Children",2,0,"SS/Spot","No","Wuchereria bancrofti",NA,NA,NA,NA,NA,810,25,0.031,0.11,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," mf_filtration","",0,1,0,3,"Ramzy RM, El Setouhy M, Helmy H, Ahmed ES, Abd Elaziz KM, Farid HA, Shannon WD and Weil GJ","Published paper","Effect of yearly mass drug administration with diethylcarbamazine and albendazole on bancroftian filariasis in Egypt: a comprehensive assessment",1,"1.0-9.9",1491,"gahi_site",NA,"Africa","Northern Africa","EMRO","EG","Egypt",40765,"Ash Sharqiyah (sharkia)",1172,"Administrative unit not available","Administrative unit not available","15554","15554","Administrative","Area","Tahoria/Kafr Tahoria","Kafr ?u?ûriya","Rural","SALB",1,30.357851,31.321922,"","",2000,2000,"2000",NA,NA,NA,"Adults/Children",2,0,"SS/Spot","No","Night","Wuchereria bancrofti","Parasitological/Serological","Filtration/ICT",NA,NA,NA,0.11,6,810,25,0.031,NA,810,110,0.136,100,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA," ict mf_filtration density","",0,1,0,3,0,"EGY0010LF","Ramzy et al., 2006","Journal","2006",""
"2","1503","LF1491EG","gahi_collab","no","Africa","Northern Africa","AFRO/EMRO","EG","Egypt",40765,"Ash Sharqiyah (sharkia)",1172,"Administrative unit not available",15554,"Area","Tahoria/Kafr Tahoria",1,30.357851,31.321922,2000,2000,NA,2006,0,0,"Adults/Children",2,0,"SS/Spot","No","Wuchereria bancrofti",NA,NA,NA,NA,NA,810,25,0.031,0.11,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," mf_filtration","",0,1,0,3,"Ramzy RM, El Setouhy M, Helmy H, Ahmed ES, Abd Elaziz KM, Farid HA, Shannon WD and Weil GJ","Published paper","Effect of yearly mass drug administration with diethylcarbamazine and albendazole on bancroftian filariasis in Egypt: a comprehensive assessment",1,"1.0-9.9",1491,"gahi_site","no","Africa","Northern Africa","EMRO","EG","Egypt",40765,"Ash Sharqiyah (sharkia)",1172,"Administrative unit not available","Administrative unit not available","15554","15554","Administrative","Area","Tahoria/Kafr Tahoria","Kafr ?u?ûriya","Rural","SALB",1,30.357851,31.321922,"","",2000,2000,"2000",NA,NA,NA,"Adults/Children",2,0,"SS/Spot","No","Night","Wuchereria bancrofti","Parasitological/Serological","Filtration/ICT",NA,NA,NA,0.11,6,810,25,0.031,NA,810,110,0.136,100,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA," ict mf_filtration density","",0,1,0,3,0,"EGY0010LF","Ramzy et al., 2006","Journal","2006",""
"3","1506","LF1492EG","gahi_collab","no","Africa","Northern Africa","AFRO/EMRO","EG","Egypt",40765,"Al Gharbiyah (gharbia)",1162,"Administrative unit not available",15544,"Area","Azizia",1,30.847838,31.203795,2001,2001,NA,2006,0,0,"Adults/Children",2,1,"SS/Spot","No","Wuchereria bancrofti",NA,NA,NA,NA,NA,1012,46,0.045,0.15,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," mf_filtration","",0,1,0,2,"Ramzy RM, El Setouhy M, Helmy H, Ahmed ES, Abd Elaziz KM, Farid HA, Shannon WD and Weil GJ","Published paper","Effect of yearly mass drug administration with diethylcarbamazine and albendazole on bancroftian filariasis in Egypt: a comprehensive assessment",1,"1.0-9.9",1492,"gahi_site",NA,"Africa","Northern Africa","EMRO","EG","Egypt",40765,"Al Gharbiyah (gharbia)",1162,"Administrative unit not available","Administrative unit not available","15544","15544","Administrative","Area","Azizia","El-‘Azîzîya","Rural","SALB",1,30.847838,31.203795,"","",2001,2001,"2001",NA,NA,NA,"Adults/Children",2,1,"SS/Spot","No","Night","Wuchereria bancrofti","Parasitological/Serological","Filtration/ICT",NA,NA,NA,0.15,6,1012,46,0.045,NA,1067,171,0.16,100,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA," ict mf_filtration density","",0,1,0,2,0,"EGY0010LF","Ramzy et al., 2006","Journal","2006",""
"4","1507","LF1492EG","gahi_collab","no","Africa","Northern Africa","AFRO/EMRO","EG","Egypt",40765,"Al Gharbiyah (gharbia)",1162,"Administrative unit not available",15544,"Area","Azizia",1,30.847838,31.203795,2001,2001,NA,2006,0,0,"Adults/Children",2,1,"SS/Spot","No","Wuchereria bancrofti",NA,NA,NA,NA,NA,1012,46,0.045,0.15,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," mf_filtration","",0,1,0,2,"Ramzy RM, El Setouhy M, Helmy H, Ahmed ES, Abd Elaziz KM, Farid HA, Shannon WD and Weil GJ","Published paper","Effect of yearly mass drug administration with diethylcarbamazine and albendazole on bancroftian filariasis in Egypt: a comprehensive assessment",1,"1.0-9.9",1492,"gahi_site","no","Africa","Northern Africa","EMRO","EG","Egypt",40765,"Al Gharbiyah (gharbia)",1162,"Administrative unit not available","Administrative unit not available","15544","15544","Administrative","Area","Azizia","El-‘Azîzîya","Rural","SALB",1,30.847838,31.203795,"","",2001,2001,"2001",NA,NA,NA,"Adults/Children",2,1,"SS/Spot","No","Night","Wuchereria bancrofti","Parasitological/Serological","Filtration/ICT",NA,NA,NA,0.15,6,1012,46,0.045,NA,1067,171,0.16,100,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA," ict mf_filtration density","",0,1,0,2,0,"EGY0010LF","Ramzy et al., 2006","Journal","2006",""
"5","1512","LF1494EG","gahi_collab","no","Africa","Northern Africa","AFRO/EMRO","EG","Egypt",40765,"Al Gharbiyah (gharbia)",1162,"Administrative unit not available",15544,"Area","Azizia",1,30.847838,31.203795,2002,2002,NA,2006,0,0,"Adults/Children",2,2,"SS/Spot","No","Wuchereria bancrofti",NA,NA,NA,NA,NA,1026,28,0.027,0.15,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," mf_filtration","",0,1,0,2,"Ramzy RM, El Setouhy M, Helmy H, Ahmed ES, Abd Elaziz KM, Farid HA, Shannon WD and Weil GJ","Published paper","Effect of yearly mass drug administration with diethylcarbamazine and albendazole on bancroftian filariasis in Egypt: a comprehensive assessment",1,"1.0-9.9",1494,"gahi_site",NA,"Africa","Northern Africa","EMRO","EG","Egypt",40765,"Al Gharbiyah (gharbia)",1162,"Administrative unit not available","Administrative unit not available","15544","15544","Administrative","Area","Azizia","El-‘Azîzîya","Rural","SALB",1,30.847838,31.203795,"","",2002,2002,"2002",NA,NA,NA,"Adults/Children",2,2,"SS/Spot","No","Night","Wuchereria bancrofti","Parasitological/Serological","Filtration/ICT",NA,NA,NA,0.15,6,1026,28,0.027,NA,1067,112,0.105,100,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA," ict mf_filtration density","",0,1,0,2,0,"EGY0010LF","Ramzy et al., 2006","Journal","2006",""
"6","1513","LF1494EG","gahi_collab","no","Africa","Northern Africa","AFRO/EMRO","EG","Egypt",40765,"Al Gharbiyah (gharbia)",1162,"Administrative unit not available",15544,"Area","Azizia",1,30.847838,31.203795,2002,2002,NA,2006,0,0,"Adults/Children",2,2,"SS/Spot","No","Wuchereria bancrofti",NA,NA,NA,NA,NA,1026,28,0.027,0.15,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," mf_filtration","",0,1,0,2,"Ramzy RM, El Setouhy M, Helmy H, Ahmed ES, Abd Elaziz KM, Farid HA, Shannon WD and Weil GJ","Published paper","Effect of yearly mass drug administration with diethylcarbamazine and albendazole on bancroftian filariasis in Egypt: a comprehensive assessment",1,"1.0-9.9",1494,"gahi_site","no","Africa","Northern Africa","EMRO","EG","Egypt",40765,"Al Gharbiyah (gharbia)",1162,"Administrative unit not available","Administrative unit not available","15544","15544","Administrative","Area","Azizia","El-‘Azîzîya","Rural","SALB",1,30.847838,31.203795,"","",2002,2002,"2002",NA,NA,NA,"Adults/Children",2,2,"SS/Spot","No","Night","Wuchereria bancrofti","Parasitological/Serological","Filtration/ICT",NA,NA,NA,0.15,6,1026,28,0.027,NA,1067,112,0.105,100,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA," ict mf_filtration density","",0,1,0,2,0,"EGY0010LF","Ramzy et al., 2006","Journal","2006",""
"7","1518","LF1495EG","gahi_collab","no","Africa","Northern Africa","AFRO/EMRO","EG","Egypt",40765,"Ash Sharqiyah (sharkia)",1172,"Administrative unit not available",15554,"Area","Tahoria/Kafr Tahoria",1,30.357851,31.321922,2002,2002,NA,2006,0,0,"Adults/Children",2,2,"SS/Spot","No","Wuchereria bancrofti",NA,NA,NA,NA,NA,770,5,0.006,0.06,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," mf_filtration","",0,1,0,3,"Ramzy RM, El Setouhy M, Helmy H, Ahmed ES, Abd Elaziz KM, Farid HA, Shannon WD and Weil GJ","Published paper","Effect of yearly mass drug administration with diethylcarbamazine and albendazole on bancroftian filariasis in Egypt: a comprehensive assessment",1,">0-0.9",1495,"gahi_site",NA,"Africa","Northern Africa","EMRO","EG","Egypt",40765,"Ash Sharqiyah (sharkia)",1172,"Administrative unit not available","Administrative unit not available","15554","15554","Administrative","Area","Tahoria/Kafr Tahoria","Kafr ?u?ûriya","Rural","SALB",1,30.357851,31.321922,"","",2002,2002,"2002",NA,NA,NA,"Adults/Children",2,2,"SS/Spot","No","Night","Wuchereria bancrofti","Parasitological/Serological","Filtration/ICT",NA,NA,NA,0.06,6,770,5,0.006,NA,810,27,0.033,100,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA," ict mf_filtration density","",0,1,0,3,0,"EGY0010LF","Ramzy et al., 2006","Journal","2006",""
"8","1519","LF1495EG","gahi_collab","no","Africa","Northern Africa","AFRO/EMRO","EG","Egypt",40765,"Ash Sharqiyah (sharkia)",1172,"Administrative unit not available",15554,"Area","Tahoria/Kafr Tahoria",1,30.357851,31.321922,2002,2002,NA,2006,0,0,"Adults/Children",2,2,"SS/Spot","No","Wuchereria bancrofti",NA,NA,NA,NA,NA,770,5,0.006,0.06,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," mf_filtration","",0,1,0,3,"Ramzy RM, El Setouhy M, Helmy H, Ahmed ES, Abd Elaziz KM, Farid HA, Shannon WD and Weil GJ","Published paper","Effect of yearly mass drug administration with diethylcarbamazine and albendazole on bancroftian filariasis in Egypt: a comprehensive assessment",1,">0-0.9",1495,"gahi_site","no","Africa","Northern Africa","EMRO","EG","Egypt",40765,"Ash Sharqiyah (sharkia)",1172,"Administrative unit not available","Administrative unit not available","15554","15554","Administrative","Area","Tahoria/Kafr Tahoria","Kafr ?u?ûriya","Rural","SALB",1,30.357851,31.321922,"","",2002,2002,"2002",NA,NA,NA,"Adults/Children",2,2,"SS/Spot","No","Night","Wuchereria bancrofti","Parasitological/Serological","Filtration/ICT",NA,NA,NA,0.06,6,770,5,0.006,NA,810,27,0.033,100,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA," ict mf_filtration density","",0,1,0,3,0,"EGY0010LF","Ramzy et al., 2006","Journal","2006",""
"9","1522","LF1497EG","gahi_collab","no","Africa","Northern Africa","AFRO/EMRO","EG","Egypt",40765,"Ash Sharqiyah (sharkia)",1172,"Administrative unit not available",15554,"Area","Tahoria/Kafr Tahoria",1,30.357851,31.321922,2003,2003,NA,2006,0,0,"Adults/Children",2,3,"SS/Spot","No","Wuchereria bancrofti",NA,NA,NA,NA,NA,771,0,0,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," mf_filtration","",0,1,0,3,"Ramzy RM, El Setouhy M, Helmy H, Ahmed ES, Abd Elaziz KM, Farid HA, Shannon WD and Weil GJ","Published paper","Effect of yearly mass drug administration with diethylcarbamazine and albendazole on bancroftian filariasis in Egypt: a comprehensive assessment",0,"0",1497,"gahi_site",NA,"Africa","Northern Africa","EMRO","EG","Egypt",40765,"Ash Sharqiyah (sharkia)",1172,"Administrative unit not available","Administrative unit not available","15554","15554","Administrative","Area","Tahoria/Kafr Tahoria","Kafr ?u?ûriya","Rural","SALB",1,30.357851,31.321922,"","",2003,2003,"2003",NA,NA,NA,"Adults/Children",2,3,"SS/Spot","No","Night","Wuchereria bancrofti","Parasitological/Serological","Filtration/ICT",NA,NA,NA,0,6,771,0,0,NA,771,21,0.027,100,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA," ict mf_filtration density","",0,1,0,3,0,"EGY0010LF","Ramzy et al., 2006","Journal","2006",""
"10","1523","LF1497EG","gahi_collab","no","Africa","Northern Africa","AFRO/EMRO","EG","Egypt",40765,"Ash Sharqiyah (sharkia)",1172,"Administrative unit not available",15554,"Area","Tahoria/Kafr Tahoria",1,30.357851,31.321922,2003,2003,NA,2006,0,0,"Adults/Children",2,3,"SS/Spot","No","Wuchereria bancrofti",NA,NA,NA,NA,NA,771,0,0,0,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," mf_filtration","",0,1,0,3,"Ramzy RM, El Setouhy M, Helmy H, Ahmed ES, Abd Elaziz KM, Farid HA, Shannon WD and Weil GJ","Published paper","Effect of yearly mass drug administration with diethylcarbamazine and albendazole on bancroftian filariasis in Egypt: a comprehensive assessment",0,"0",1497,"gahi_site","no","Africa","Northern Africa","EMRO","EG","Egypt",40765,"Ash Sharqiyah (sharkia)",1172,"Administrative unit not available","Administrative unit not available","15554","15554","Administrative","Area","Tahoria/Kafr Tahoria","Kafr ?u?ûriya","Rural","SALB",1,30.357851,31.321922,"","",2003,2003,"2003",NA,NA,NA,"Adults/Children",2,3,"SS/Spot","No","Night","Wuchereria bancrofti","Parasitological/Serological","Filtration/ICT",NA,NA,NA,0,6,771,0,0,NA,771,21,0.027,100,NA,NA,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA," ict mf_filtration density","",0,1,0,3,0,"EGY0010LF","Ramzy et al., 2006","Journal","2006",""
