"","field_citation_value","file_path"
"1","","J:\DATA\JOURNAL_ARTICLES\PARASIT_VECTORS\2014"
"2","","J:\Project\NTDS\data\LF\Exctracted PDFs\El-Setouhy_effect_compliance_impact_MDA_elimination_LF_Egypt.pdf"
"3","","J:\Project\NTDS\data\LF\Exctracted PDFs\Njenga_Impact_MDA_eliminate_LF_Malindi_Kenya.pdf"
"4","","J:\Project\NTDS\data\LF\Exctracted PDFs\Njenga_Impact_two_rounds_mass_treatment_WB_immunochromatographic_Kenya.pdf"
"5","","J:\Project\NTDS\data\LF\Exctracted PDFs\Rajendran_Community-based_study_DEC_ALB_BF_Tamil_Nadu_south_India.pdf"
"6","","J:\Project\NTDS\data\LF\Exctracted PDFs\Ramzy_Single_Dose_DEC_Egypt.pdf"
"7","","J:\Project\NTDS\data\LF\Exctracted PDFs\Weil_Impact_Repeated_Rounds_MDA_Diethylcarbamazine_Albendazole_BF_PNG.PDF"
"8","#*#Author#*#Gounoue-Kamkumo R, Nana-Djeunga HC, Bopda J, Akame J, Tarini A, Kamgno J. #*#Title#*#Loss of sensitivity of immunochromatographic test (ICT) for lymphatic filariasis diagnosis in low prevalence settings: consequence in the monitoring and evaluation procedures. #*#Journal#*#Bmc Infectious Diseases. #*#Date#*#2015 Dec 23;#*#Volume#*#15#*#Pages#*#:579. 
","J:\Project\NTDS\data\LF\Exctracted PDFs\Gounoue-Kamkumo_Loss_Sensitivity_ICT.pdf"
"9","#*#Author#*#Jaoko WG, Michael E, Meyrowitsch DW, Estambale BBA, Malecela MN, Simonsen PE. #*#Title#*#Immunoepidemiology of Wuchereria bancrofti infection: parasite transmission intensity, filaria-specific antibodies, and host immunity in two East African communities. #*#Journal#*#Infect. Immun. #*#Date#*#2007 Dec;#*#Volume#*#75(12)#*#Pages#*#:5651–62.","J:\Project\NTDS\data\LF\Exctracted PDFs\Jaoko_Immunoepidemiology_W_Bancrofti_East_Africa.pdf"
"10","#*#Author#*#Joseph H, Moloney J, Maiava F, McClintock S, Lammie P, Melrose W. #*#Title#*#First evidence of spatial clustering of lymphatic filariasis in an Aedes polynesiensis endemic area. #*#Journal#*#Acta Tropica. #*#Date#*#2011 Sep;#*#Volume#*#120#*#Pages#*#:S39–47.","J:\Project\NTDS\data\LF\Exctracted PDFs\Joseph_First_evidence_spatial_clustering_LF_Aedes_polynesiensis_endemic_area.pdf"
