"","Reference_restr","Author_restr","Source_restr"
"1","The use of spatial analysis in mapping the distribution of bancroftian filariasis in four West African countries","Gyapong JO, Kyelem D, Kleinschmidt I, Agbo K, Ahouandogbo F, Gaba J, Owusu-Banahene G, Sanou S, Sodahlon YK, Biswas G, Kale OO, Molyneux DH, Roungou JB, Thomson MC and Remme J","Published paper"
"2","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; CIV0001_LF2008","Cote d'Ivoire Ministry of Health","Report"
"3","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; CIV0003_LF2009","Cote d'Ivoire Ministry of Health","Report"
"4","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; GAB0001_LF2014","Gabon Ministry of Health","Published paper"
"5","Programme to Eliminate Lymphatic Filariasis. Country Report WHO; MWI0009_LF2016","Malawi Ministry of Health","Report"
"6","Spatial clustering of filarial transmission before and after a Mass Drug Administration in a setting of low infection prevalence","Washington CH, Radday J, Streit TG, Boyd HA, Beach MJ, Addiss DG, Lovince R, Lovegrove MC, Lafontant JG, Lammie Pj and Hightower AW","Published paper"
"7","Anemia Among Children Exposed to Polyparasitism in Coastal Kenya","Chang Cojulun A, Bustinduy AL, Sutherland LJ, Mungai PL, Mutuku F, Muchiri E, Kitron U and King CH","Published paper"
"8","Urban lymphatic filariasis in the city of Tanga, Tanzania, after seven rounds of mass drug administration","Mwakitalu ME, Malecela MN, Pedersen EM, Mosha FW and Simonsen PE ","Published paper"
"9","Urban lymphatic filariasis in the metropolis of Dar es Salaam, Tanzania","Mwakitalu ME, Malecela MN, Pedersen EM, Mosha FW and Simonsen PE","Published paper"
"10","Lymphatic filariasis in Luangwa District, South-East Zambia","Shawa ST, Mwase ET, Pedersen EM and Simonsen PE ","Published paper"
"11","Pilot Assessment of Soil-Transmitted Helminthiasis in the Context of Transmission Assessment Surveys for Lymphatic Filariasis in Benin and Tonga","Chu BK, Gass K, Batcho W, Ake M, Dorkenoo AM, Adjinacou E, Mafi E and Addiss DG","Published paper"
"12","A case study of risk factors for lymphatic filariasis in the Republic of Congo","Chesnais CB, Missamou F, Pion SD, Bopda J, Louya F, Majewski AC, Fischer PU, Weil GJ and Boussinesq M ","Published paper"
"13","Evaluation of diagnostic tests for Wuchereria bancrofti infection in Brazilian schoolchildren","Oliveira P, Braga C, Alexander N, Brandao E, Silva A, Wanderley L, Aguiar AM, Diniz G, Medeiros Z and Rocha A","Published paper"
"14","Measuring impact on filarial infection status in a community study: role of coverage of mass drug administration (MDA)","Kumar A and Sachan P","Published paper"
"15","A comprehensive assessment of lymphatic filariasis inSri Lanka six years after cessation of mass drug administration","Rao RU, Nagodavithana KC, Samarasekera SD, Wijegunawardana AD, Premakumara WD, Perera SN, Settinayake S, Miller JP and Weil GJ ","Published paper"
"16","Distribution and risk factors for Plasmodium and helminth co-infections: a cross-sectional survey among children in Bagamoyo district, coastal region of Tanzania","Salim N, Knopp S, Lweno O, Abdul U, Mohamed A, Schindler T, Rothen J, Masimba J, Kwaba D, Mohammed AS, et al","Published paper"
"17","A Randomized Controlled Trial of Increased Dose and Frequency of Albendazole with Standard Dose DEC for Treatment of Wuchereria bancrofti Microfilaremics in Odisha, India ","Kar SK, Dwibedi B, Kerketa AS, Maharana A, Panda SS, Mohanty PC, Horton J and Ramachandran CP ","Published paper"
"18","Elimination of lymphatic filariasis in the Gambia","Rebollo MP, Sambou SM, Thomas B, Biritwum NK, Jaye MC, Kelly-Hope L, Escalada AG, Molyneux DH and Bockarie MJ ","Published paper"
"19","The impact of two semiannual treatments with albendazole alone on lymphatic filariasis and soil-transmitted helminth infections: a community-based study in the Republic of Congo","Pion SD, Chesnais CB, Bopda J, Louya F, Fischer PU, Majewski AC, Weil GJ, Boussinesq M and Missamou F ","Published paper"
"20","Lymphatic filariasis baseline survey in two sentinel sites of Ogun state, Nigeria","Okorie PN, Davies E, Ogunmola OO, Ojurongbe O, Saka Y, Okoeguale B and Braide EI ","Published paper"
"21","Wuchereria bancrofti transmission pattern in southern Mali prior to and following the institution of mass drug administration","Coulibaly YI, Dembele B, Diallo AA, Kristensen S, Konate S, Dolo H, Dicko I, Sangare MB, Keita F, Boatin BA, et al","Published paper"
"22","The impact of residual infections on Anopheles-transmitted Wuchereria bancrofti after multiple rounds of mass drug administration","de Souza DK, Ansumana R, Sessay S, Conteh A, Koudou B, Rebollo MP, Koroma J, Boakye DA and Bockarie MJ ","Published paper"
"23","Evaluation of human and mosquito based diagnostic tools for defining endpoints for elimination of Anopheles transmitted lymphatic filariasis in Ghana","Owusu IO, de Souza DK, Anto F, Wilson MD, Boakye DA, Bockarie MJ and Gyapong JO ","Published paper"
"24","PREVALENCE OF LYMPHATIC FILARIASIS, MALARIA AND SOIL TRANSMITTED HELMINTHIASIS IN A COMMUNITY OF BARDIYA DISTRICT, WESTERN NEPAL","Ranjitkar S, Alifrangis M, Adhikari M, Olsen A, Simonsen PE and Meyrowitsch DW","Published paper"
"25","Transmission Assessment Survey for Elimination of Lymphatic Filariasis in La Cienaga, Dominican Republic","Noland GS, Blount S and Gonzalez M","Published paper"
